순위,도서명,저자,출판사,정가,판매가
216,n8n이 다 해줌,이인영 외,한빛미디어,28000,25200
217,돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그,정소희,골든래빗(주),25800,23220
218,한 권으로 끝내는 피지컬 AI ROS2 입문+실전(종합편),서민우 외,앤써북,25500,22950
219,2026 이기적 사무자동화산업기사 실기 기본서 세트,신면철,영진닷컴,28000,25200
220,제미나이로 구글·이미지·영상·자동화 진짜 잘함,이호정,리코멘드,18800,16920
221,"하루 30분, 나는 제미나이로 돈을 번다",김민규,한빛미디어,19000,17100
222,누구나 쉽게 시작하는 방구석 1인 앱 창업,김건희,제이펍,28000,25200
223,맛있는 디자인  프리미어 프로&애프터 이펙트 CC 2026,심수진 외,한빛미디어,27000,24300
224,맛있는 디자인 피그마 with AI,이영주,한빛미디어,28000,25200
225,2026 이기적 프로그래밍기능사 필기 기출 900제,임승현,영진닷컴,17000,15300
226,2026 로그인 전산세무 2급 기출문제집,김영철,어울림,18000,16200
227,2026 한 권으로 끝장내는 이기적X커미조아가현샘 컴퓨터활용능력 1급 실기,박가현,영진닷컴,26000,23400
228,2026 이기적 컴퓨터활용능력 2급 필기 절대족보,홍태성 외,영진닷컴,17000,15300
229,2026 에듀윌 ADsP 데이터분석 준전문가 2주끝장,윤소영,에듀윌,28000,25200
230,2026 시대에듀 무료 동영상 강의를 제공하는 전산회계운용사 2급 필기,고민석,시대고시기획,20000,18000
231,2026 이공자 ITQ OA Master,KIE기획연구실,아카데미소프트,30000,27000
232,처음이지만 프로처럼 쓰는 노션 Notion,박한용(노션너굴),디지털북스,25000,22500
233,2026 시나공 컴퓨터활용능력 2급 실기 총정리,길벗알앤디,길벗,18000,16200
234,밑바닥부터 만들면서 배우는 LLM,세바스찬 라시카 외,길벗,40000,36000
235,"요즘 AI 에이전트 개발, LLM RAG ADK MCP LangChain A2A LangGraph",박승규,골든래빗(주),32000,28800
236,2026 ADP 필기 데이터 분석 전문가: 올패키지,윤종식,데이터에듀,53000,47700
237,2026 시나공 워드프로세서 필기 기본서,길벗알앤디,길벗,21000,18900
238,업무와 일상을 정리하는 새로운 방법 노션,전시진,제이펍,24000,21600
239,Do it! LLM을 활용한 AI 에이전트 개발 입문,이성용,이지스퍼블리싱,35000,31500
240,주니어 백엔드 개발자가 반드시 알아야 할 실무 지식,최범균,한빛미디어,28000,25200
241,M365 코파일럿 무작정 따라하기,김시연 외,길벗,22000,19800
242,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,고경희,이지스퍼블리싱,32000,28800
243,그림으로 이해하는 서버 구조와 기술,요코타 카즈키 외,길벗,22000,19800
244,네이버 스마트스토어 시작하기,서미진,한빛미디어,19800,17820
245,혼자 공부하는 네트워크,강민철,한빛미디어,28000,25200
246,혼자 공부하는 자바,신용권,한빛미디어,28000,25200
247,밑바닥부터 시작하는 딥러닝 4,사이토 고키 외,한빛미디어,30000,27000
248,모던 로보틱스,케빈 M. 린치 외,에이콘출판,50000,45000
249,코딩 자율학습 나도코딩의 파이썬 입문,나도코딩,길벗,24000,21600
250,제품의 탄생,오이카와 다쿠야 외,책만,25000,22500
251,Do it! 쉽게 배우는 파이썬 데이터 분석,김영우,이지스퍼블리싱,23000,20700
252,실용주의 프로그래머(20주년 기념판),데이비드 토머스 외,인사이트,33000,29700
253,SQL 전문가 가이드,한국데이터산업진흥원,한국데이터산업진흥원,50000,50000
254,(사용자를) 생각하게 하지 마!,스티브 크룩 외,인사이트,18000,16200
255,된다! 하루 만에 끝내는 제미나이 활용법,권서림,이지스퍼블리싱,21000,18900
256,7인의 AI 드림팀 만들기,이비호,길벗,26000,23400
257,클로드 에이전트 협업의 기술,김승권,한빛미디어,30000,27000
258,에이젠틱 디자인 패턴,안토니오 굴리 외,인사이트,38000,34200
259,머신러닝 플랫폼 엔지니어링,벤자민 탄 웨이 하오 외,책만,35000,31500
260,한 권으로 끝내는 제미나이 재테크,조성호,한빛미디어,21000,18900
261,2027 빠르게 따는 AICE ASSOCIATE,조영훈 외,골든래빗(주),35000,31500
262,요즘 교사를 위한 AI×에듀테크 가이드 음악&미술 수업 편 with 2022 개정 교육과정,김태선 외,한빛미디어,21000,18900
263,취미가 돈이 되는 인스타툰,뇽(이건용),시프트,22000,19800
264,Do it! 오토캐드 2027 + AI,박한울,이지스퍼블리싱,31000,27900
265,블렌더 3D 아트워크 완성 클래스,장승필,영진닷컴,28000,25200
